query	grouping_confidence	location_confidence	orientation_confidence
scaffold_510	0.6362710878417684	1.0	1.0
scaffold_235	1.0	1.0	1.0
scaffold_2	0.999800470348209	0.9840301141309958	1.0
scaffold_65	0.9986052978857165	0.9994260724650825	0.9923371863149971
scaffold_162	1.0	1.0	1.0
scaffold_271	0.878185432857401	1.0	1.0
scaffold_39	0.5532164532656625	0.9924082709343747	0.9916974313982679
scaffold_17	1.0	0.9906103056785643	0.9728198381216383
scaffold_1068	1.0	1.0	1.0
scaffold_122	0.9980693183958027	1.0	1.0
scaffold_147	1.0	1.0	1.0
scaffold_96	1.0	0.6639466791337757	1.0
scaffold_50	1.0	0.8971114549390096	1.0
scaffold_247	0.5642690473774983	1.0	1.0
scaffold_300	1.0	1.0	1.0
scaffold_138	1.0	1.0	1.0
scaffold_95	1.0	1.0	1.0
scaffold_108	0.974048026928741	0.7039758633123216	1.0
scaffold_251	1.0	1.0	1.0
scaffold_1544	1.0	1.0	1.0
scaffold_262	1.0	1.0	1.0
scaffold_372	1.0	0.0032678869311121837	1.0
scaffold_146	1.0	0.9578199725800017	0.9698214371200153
scaffold_333	1.0	1.0	1.0
scaffold_252	0.9083560514803779	0.6777917070747688	0.9230849764439016
scaffold_165	0.9800200539154448	1.0	1.0
scaffold_145	0.9949022709909472	1.0	1.0
scaffold_86	1.0	1.0	1.0
scaffold_47	1.0	1.0	1.0
scaffold_42	0.5138580268231829	1.0	1.0
scaffold_270	1.0	1.0	1.0
scaffold_222	1.0	0.04776563209608974	1.0
scaffold_66	0.991439180361686	0.978857015512628	0.9974224207289105
scaffold_93	1.0	1.0	1.0
scaffold_52	0.9984751391435531	0.6156383973193609	0.7281978036009128
scaffold_131	1.0	1.0	1.0
scaffold_962	1.0	1.0	1.0
scaffold_396	1.0	1.0	1.0
scaffold_123	1.0	1.0	1.0
scaffold_168	1.0	1.0	1.0
scaffold_1355	1.0	1.0	1.0
scaffold_114	1.0	0.045736384773481284	0.9948110049650754
scaffold_298	1.0	1.0	1.0
scaffold_173	1.0	1.0	1.0
scaffold_417	0.8239398819108964	1.0	1.0
scaffold_323	1.0	1.0	1.0
scaffold_53	1.0	1.0	1.0
scaffold_236	1.0	1.0	1.0
scaffold_249	1.0	1.0	1.0
scaffold_172	1.0	0.01684987410179884	1.0
scaffold_48	0.9993380397909599	0.1308046484350108	1.0
scaffold_70	1.0	0.9953655003807361	0.9944342738103847
scaffold_766	1.0	1.0	1.0
scaffold_587	1.0	1.0	1.0
scaffold_411	1.0	0.0035769607483571437	1.0
scaffold_581	1.0	1.0	1.0
scaffold_188	1.0	0.026996188754862285	0.9882619200093148
scaffold_80	0.9984574749075541	0.12104231164094549	1.0
scaffold_185	0.8423654078657279	1.0	1.0
scaffold_120	1.0	0.5836596875109231	1.0
scaffold_672	0.6714961561206386	1.0	1.0
scaffold_109	0.996247629907583	0.7454338012798254	1.0
scaffold_149	1.0	1.0	1.0
scaffold_473	1.0	1.0	1.0
scaffold_1040	1.0	1.0	1.0
scaffold_590	1.0	1.0	1.0
scaffold_724	1.0	1.0	1.0
scaffold_181	1.0	0.6478057868478653	1.0
scaffold_324	1.0	0.0034246915636089773	0.6826413206603301
scaffold_364	1.0	1.0	1.0
scaffold_212	0.6357659434582511	1.0	1.0
scaffold_288	1.0	1.0	1.0
scaffold_442	1.0	1.0	1.0
scaffold_201	1.0	1.0	1.0
scaffold_58	1.0	0.48091456521893683	0.7339440170733412
scaffold_67	1.0	0.9948182507816775	1.0
scaffold_98	1.0	0.990233742666543	1.0
scaffold_340	1.0	1.0	1.0
scaffold_87	0.9948123547412153	1.0	1.0
scaffold_112	0.9649443103122796	0.9958497182730316	0.9927408456142609
scaffold_1070	1.0	1.0	1.0
scaffold_33	1.0	1.0	1.0
scaffold_83	1.0	1.0	1.0
scaffold_420	1.0	1.0	1.0
scaffold_55	1.0	1.0	1.0
scaffold_1470	1.0	1.0	1.0
scaffold_695	0.5349329569513056	1.0	1.0
scaffold_1545	1.0	1.0	1.0
scaffold_19	0.775680306571504	0.8989142550782138	0.9948821875057213
scaffold_543	1.0	1.0	1.0
scaffold_765	1.0	1.0	1.0
scaffold_501	1.0	1.0	1.0
scaffold_875	1.0	1.0	1.0
scaffold_612	1.0	1.0	1.0
scaffold_22	0.9996811562230238	0.9958501415084798	0.9979856533327484
scaffold_152	1.0	1.0	1.0
scaffold_30	0.9994779383837319	1.0	1.0
scaffold_335	1.0	1.0	1.0
scaffold_312	1.0	1.0	1.0
scaffold_32	1.0	1.0	1.0
scaffold_156	1.0	0.011048100317862483	0.9930752502831031
scaffold_64	0.8129388067746602	0.9601096836276011	0.9838801086571131
