query	grouping_confidence	location_confidence	orientation_confidence
scaffold_24	0.7095165411017607	0.10041210258957528	0.7944032211676733
scaffold_340	0.9750174634444977	1.0	1.0
scaffold_390	0.9673995451099318	1.0	1.0
scaffold_219	0.591347470260732	0.03438139665203699	1.0
scaffold_337	0.9700562030250844	1.0	1.0
scaffold_111	0.425018265234777	0.03990003787114738	0.9985859780780392
scaffold_291	0.9957460150669029	0.03956621115268473	1.0
scaffold_370	0.9011070110701107	0.035697579230499356	0.8419328419328419
scaffold_1316	1.0	1.0	1.0
scaffold_997	0.5391304347826087	1.0	1.0
scaffold_406	0.8511242086880594	0.005862144140486984	1.0
scaffold_249	0.37950566426364574	0.0009586426556526098	0.810989010989011
scaffold_470	0.5343367826904986	0.0002778764369587402	1.0
scaffold_965	0.9776500638569604	1.0	1.0
scaffold_362	0.35172312272035855	0.025024059357664608	0.9839797247023809
scaffold_803	0.8830059777967549	1.0	1.0
scaffold_124	0.9590270651125032	1.0	1.0
scaffold_42	0.965801512150005	0.5303592619342639	1.0
scaffold_40	0.48892250234882717	0.1406614950737521	0.6373610601687212
scaffold_1357	1.0	1.0	1.0
scaffold_131	0.6852513870617171	0.021555072465723787	0.994908286554955
scaffold_22	0.3545571273482749	0.09789568181126564	1.0
scaffold_461	0.9103884953852758	0.007848089555000463	0.9619238476953907
scaffold_304	0.9113790297868744	0.0340299614533317	0.9935742137929443
scaffold_292	0.9471048017013021	0.06282739034395708	0.9995666774997292
scaffold_1161	0.9818676337262012	1.0	1.0
scaffold_1880	1.0	1.0	1.0
scaffold_2110	1.0	1.0	1.0
scaffold_1986	1.0	1.0	1.0
scaffold_635	0.7628174413033062	0.0025356011461172014	0.9554020100502513
scaffold_437	0.593311623246493	1.0	1.0
scaffold_504	0.9863449307893752	1.0	1.0
scaffold_774	1.0	1.0	1.0
scaffold_894	1.0	1.0	1.0
scaffold_888	0.4470108695652174	0.00025522117358297945	1.0
scaffold_791	0.7461139896373057	1.0	1.0
scaffold_8	0.49697867557981695	1.0	1.0
scaffold_854	0.5492957746478874	1.0	1.0
scaffold_580	0.5664160401002506	1.0	1.0
scaffold_127	0.5371040449574481	0.025926428271028264	0.9970643582988332
scaffold_139	0.9904296494907778	0.5611303853541887	1.0
scaffold_455	0.965220560273799	0.16661105397895104	0.9986703219134232
scaffold_798	0.6464646464646465	1.0	0.722488038277512
scaffold_79	0.8327931552152577	0.17140616636718603	0.9959728586535073
scaffold_43	0.8705846653490031	0.10499636009716957	0.8831592135879344
scaffold_97	0.5718032081668445	0.09861238721901056	0.6380589996961762
scaffold_160	0.8428855983162958	0.07014227051100415	1.0
scaffold_87	0.9042600740968821	1.0	1.0
scaffold_107	0.6791849546458117	0.07765247592805484	1.0
scaffold_179	0.42982687638551675	0.049308623685819876	0.997625918421645
scaffold_334	0.9237425635478637	0.24462904611859065	1.0
scaffold_594	0.938036809815951	1.0	1.0
scaffold_1110	1.0	1.0	1.0
scaffold_2136	1.0	1.0	1.0
scaffold_2205	0.5754716981132075	1.0	1.0
scaffold_1279	1.0	1.0	1.0
scaffold_1470	1.0	1.0	1.0
scaffold_92	0.9331985530484357	0.3420865076367849	0.9845694127412327
scaffold_31	0.46960078175790104	0.6057843862022791	1.0
scaffold_328	0.38723342097575225	0.004524199604068537	0.9192757450018861
scaffold_1806	1.0	1.0	1.0
scaffold_1013	0.535031847133758	1.0	1.0
scaffold_214	1.0	1.0	1.0
scaffold_238	1.0	0.9921447643119544	1.0
scaffold_691	1.0	1.0	1.0
scaffold_633	0.9356287425149701	0.00046807713911252576	1.0
scaffold_1574	1.0	1.0	1.0
scaffold_1406	0.7254901960784313	1.0	1.0
scaffold_47	0.46030809510200693	0.11592234542449063	0.8203771204261882
scaffold_228	0.7730799461474408	0.17873432206363116	0.9992752164284276
scaffold_1314	1.0	1.0	1.0
scaffold_1482	1.0	1.0	1.0
scaffold_2148	1.0	1.0	1.0
scaffold_2164	1.0	1.0	1.0
scaffold_78	0.9982881762127679	0.9854327593101013	0.9995263190063225
scaffold_675	0.556970983722576	1.0	1.0
scaffold_49	1.0	0.8575581121126814	1.0
